raceId,year_race,round_race,circuitId,name_race,time_race,date_race
944,2015,18,18,Brazilian Grand Prix,16:00:00,11/15/2015
945,2015,19,24,Abu Dhabi Grand Prix,13:00:00,11/29/2015
948,2016,1,1,Australian Grand Prix,5:00:00,3/20/2016
949,2016,2,3,Bahrain Grand Prix,15:00:00,4/3/2016
950,2016,3,17,Chinese Grand Prix,6:00:00,4/17/2016
951,2016,4,71,Russian Grand Prix,12:00:00,5/1/2016
952,2016,5,4,Spanish Grand Prix,12:00:00,5/15/2016
953,2016,6,6,Monaco Grand Prix,12:00:00,5/29/2016
954,2016,7,7,Canadian Grand Prix,18:00:00,6/12/2016
955,2016,8,73,European Grand Prix,13:00:00,6/19/2016
956,2016,9,70,Austrian Grand Prix,12:00:00,7/3/2016
957,2016,10,9,British Grand Prix,12:00:00,7/10/2016
958,2016,11,11,Hungarian Grand Prix,12:00:00,7/24/2016
959,2016,12,10,German Grand Prix,12:00:00,7/31/2016
960,2016,13,13,Belgian Grand Prix,12:00:00,8/28/2016
961,2016,14,14,Italian Grand Prix,12:00:00,9/4/2016
962,2016,15,15,Singapore Grand Prix,12:00:00,9/18/2016
963,2016,16,2,Malaysian Grand Prix,7:00:00,10/2/2016
964,2016,17,22,Japanese Grand Prix,5:00:00,10/9/2016
965,2016,18,69,United States Grand Prix,19:00:00,10/23/2016
966,2016,19,32,Mexican Grand Prix,19:00:00,10/30/2016
967,2016,20,18,Brazilian Grand Prix,16:00:00,11/13/2016
968,2016,21,24,Abu Dhabi Grand Prix,13:00:00,11/27/2016
969,2017,1,1,Australian Grand Prix,5:00:00,3/26/2017
970,2017,2,17,Chinese Grand Prix,6:00:00,4/9/2017
971,2017,3,3,Bahrain Grand Prix,15:00:00,4/16/2017
972,2017,4,71,Russian Grand Prix,12:00:00,4/30/2017
973,2017,5,4,Spanish Grand Prix,12:00:00,5/14/2017
974,2017,6,6,Monaco Grand Prix,12:00:00,5/28/2017
975,2017,7,7,Canadian Grand Prix,18:00:00,6/11/2017
976,2017,8,73,Azerbaijan Grand Prix,13:00:00,6/25/2017
977,2017,9,70,Austrian Grand Prix,12:00:00,7/9/2017
978,2017,10,9,British Grand Prix,12:00:00,7/16/2017
979,2017,11,11,Hungarian Grand Prix,12:00:00,7/30/2017
980,2017,12,13,Belgian Grand Prix,12:00:00,8/27/2017
981,2017,13,14,Italian Grand Prix,12:00:00,9/3/2017
982,2017,14,15,Singapore Grand Prix,12:00:00,9/17/2017
983,2017,15,2,Malaysian Grand Prix,7:00:00,10/1/2017
984,2017,16,22,Japanese Grand Prix,5:00:00,10/8/2017
985,2017,17,69,United States Grand Prix,19:00:00,10/22/2017
986,2017,18,32,Mexican Grand Prix,19:00:00,10/29/2017
987,2017,19,18,Brazilian Grand Prix,16:00:00,11/12/2017
988,2017,20,24,Abu Dhabi Grand Prix,13:00:00,11/26/2017
989,2018,1,1,Australian Grand Prix,5:10:00,3/25/2018
990,2018,2,3,Bahrain Grand Prix,15:10:00,4/8/2018
991,2018,3,17,Chinese Grand Prix,6:10:00,4/15/2018
992,2018,4,73,Azerbaijan Grand Prix,12:10:00,4/29/2018
993,2018,5,4,Spanish Grand Prix,13:10:00,5/13/2018
994,2018,6,6,Monaco Grand Prix,13:10:00,5/27/2018
995,2018,7,7,Canadian Grand Prix,18:10:00,6/10/2018
996,2018,8,34,French Grand Prix,14:10:00,6/24/2018
997,2018,9,70,Austrian Grand Prix,13:10:00,7/1/2018
998,2018,10,9,British Grand Prix,13:10:00,7/8/2018
999,2018,11,10,German Grand Prix,13:10:00,7/22/2018
1000,2018,12,11,Hungarian Grand Prix,13:10:00,7/29/2018
1001,2018,13,13,Belgian Grand Prix,13:10:00,8/26/2018
1002,2018,14,14,Italian Grand Prix,13:10:00,9/2/2018
1003,2018,15,15,Singapore Grand Prix,12:10:00,9/16/2018
1004,2018,16,71,Russian Grand Prix,11:10:00,9/30/2018
1005,2018,17,22,Japanese Grand Prix,5:10:00,10/7/2018
1006,2018,18,69,United States Grand Prix,18:10:00,10/21/2018
1007,2018,19,32,Mexican Grand Prix,19:10:00,10/28/2018
1008,2018,20,18,Brazilian Grand Prix,17:10:00,11/11/2018
1009,2018,21,24,Abu Dhabi Grand Prix,13:10:00,11/25/2018
1010,2019,1,1,Australian Grand Prix,5:10:00,3/17/2019
1011,2019,2,3,Bahrain Grand Prix,15:10:00,3/31/2019
1012,2019,3,17,Chinese Grand Prix,6:10:00,4/14/2019
1013,2019,4,73,Azerbaijan Grand Prix,12:10:00,4/28/2019
1014,2019,5,4,Spanish Grand Prix,13:10:00,5/12/2019
1015,2019,6,6,Monaco Grand Prix,13:10:00,5/26/2019
1016,2019,7,7,Canadian Grand Prix,18:10:00,6/9/2019
1017,2019,8,34,French Grand Prix,13:10:00,6/23/2019
1018,2019,9,70,Austrian Grand Prix,13:10:00,6/30/2019
1019,2019,10,9,British Grand Prix,13:10:00,7/14/2019
1020,2019,11,10,German Grand Prix,13:10:00,7/28/2019
1021,2019,12,11,Hungarian Grand Prix,13:10:00,8/4/2019
1022,2019,13,13,Belgian Grand Prix,13:10:00,9/1/2019
1023,2019,14,14,Italian Grand Prix,13:10:00,9/8/2019
1024,2019,15,15,Singapore Grand Prix,12:10:00,9/22/2019
1025,2019,16,71,Russian Grand Prix,11:10:00,9/29/2019
1026,2019,17,22,Japanese Grand Prix,5:10:00,10/13/2019
1027,2019,18,32,Mexican Grand Prix,19:10:00,10/27/2019
1028,2019,19,69,United States Grand Prix,19:10:00,11/3/2019
1029,2019,20,18,Brazilian Grand Prix,17:10:00,11/17/2019
1030,2019,21,24,Abu Dhabi Grand Prix,13:10:00,12/1/2019
1031,2020,1,70,Austrian Grand Prix,13:10:00,7/5/2020
1032,2020,2,70,Styrian Grand Prix,13:10:00,7/12/2020
1033,2020,3,11,Hungarian Grand Prix,13:10:00,7/19/2020
1034,2020,4,9,British Grand Prix,13:10:00,8/2/2020
1035,2020,5,9,70th Anniversary Grand Prix,13:10:00,8/9/2020
1036,2020,6,4,Spanish Grand Prix,13:10:00,8/16/2020
1037,2020,7,13,Belgian Grand Prix,13:10:00,8/30/2020
1038,2020,8,14,Italian Grand Prix,13:10:00,9/6/2020
1039,2020,9,76,Tuscan Grand Prix,13:10:00,9/13/2020
1040,2020,10,71,Russian Grand Prix,11:10:00,9/27/2020
1041,2020,11,20,Eifel Grand Prix,13:10:00,10/11/2020
1042,2020,12,75,Portuguese Grand Prix,12:10:00,10/25/2020
1043,2020,13,21,Emilia Romagna Grand Prix,12:10:00,11/1/2020
1044,2020,14,5,Turkish Grand Prix,10:10:00,11/15/2020
1045,2020,15,3,Bahrain Grand Prix,14:10:00,11/29/2020
1046,2020,16,3,Sakhir Grand Prix,17:10:00,12/6/2020
1047,2020,17,24,Abu Dhabi Grand Prix,13:10:00,12/13/2020
1053,2021,2,21,Emilia Romagna Grand Prix,13:00:00,4/18/2021
1074,2022,1,3,Bahrain Grand Prix,15:00:00,3/20/2022
1052,2021,1,3,Bahrain Grand Prix,15:00:00,3/28/2021
1051,2021,20,78,Qatar Grand Prix,14:00:00,11/21/2021
1054,2021,3,75,Portuguese Grand Prix,14:00:00,5/2/2021
1055,2021,4,4,Spanish Grand Prix,13:00:00,5/9/2021
1056,2021,5,6,Monaco Grand Prix,13:00:00,5/23/2021
1057,2021,6,73,Azerbaijan Grand Prix,12:00:00,6/6/2021
1058,2021,8,70,Styrian Grand Prix,13:00:00,6/27/2021
1059,2021,7,34,French Grand Prix,13:00:00,6/20/2021
1060,2021,9,70,Austrian Grand Prix,13:00:00,7/4/2021
1061,2021,10,9,British Grand Prix,14:00:00,7/18/2021
1062,2021,11,11,Hungarian Grand Prix,13:00:00,8/1/2021
1063,2021,12,13,Belgian Grand Prix,13:00:00,8/29/2021
1064,2021,13,39,Dutch Grand Prix,13:00:00,9/5/2021
1065,2021,14,14,Italian Grand Prix,13:00:00,9/12/2021
1066,2021,15,71,Russian Grand Prix,12:00:00,9/26/2021
1067,2021,16,5,Turkish Grand Prix,12:00:00,10/10/2021
1069,2021,17,69,United States Grand Prix,19:00:00,10/24/2021
1070,2021,18,32,Mexico City Grand Prix,19:00:00,11/7/2021
1071,2021,19,18,São Paulo Grand Prix,17:00:00,11/14/2021
1072,2021,21,77,Saudi Arabian Grand Prix,17:30:00,12/5/2021
1073,2021,22,24,Abu Dhabi Grand Prix,13:00:00,12/12/2021
1075,2022,2,77,Saudi Arabian Grand Prix,17:00:00,3/27/2022
1076,2022,3,1,Australian Grand Prix,5:00:00,4/10/2022
1077,2022,4,21,Emilia Romagna Grand Prix,13:00:00,4/24/2022
1078,2022,5,79,Miami Grand Prix,19:30:00,5/8/2022
1079,2022,6,4,Spanish Grand Prix,13:00:00,5/22/2022
1080,2022,7,6,Monaco Grand Prix,13:00:00,5/29/2022
1081,2022,8,73,Azerbaijan Grand Prix,11:00:00,6/12/2022
1082,2022,9,7,Canadian Grand Prix,18:00:00,6/19/2022
1083,2022,10,9,British Grand Prix,14:00:00,7/3/2022
1084,2022,11,70,Austrian Grand Prix,13:00:00,7/10/2022
1085,2022,12,34,French Grand Prix,13:00:00,7/24/2022
1086,2022,13,11,Hungarian Grand Prix,13:00:00,7/31/2022
1087,2022,14,13,Belgian Grand Prix,13:00:00,8/28/2022
1088,2022,15,39,Dutch Grand Prix,13:00:00,9/4/2022
1089,2022,16,14,Italian Grand Prix,13:00:00,9/11/2022
1091,2022,17,15,Singapore Grand Prix,12:00:00,10/2/2022
1092,2022,18,22,Japanese Grand Prix,5:00:00,10/9/2022
1093,2022,19,69,United States Grand Prix,19:00:00,10/23/2022
1094,2022,20,32,Mexico City Grand Prix,20:00:00,10/30/2022
1095,2022,21,18,Brazilian Grand Prix,18:00:00,11/13/2022
1096,2022,22,24,Abu Dhabi Grand Prix,13:00:00,11/20/2022
1098,2023,1,3,Bahrain Grand Prix,15:00:00,3/5/2023
1099,2023,2,77,Saudi Arabian Grand Prix,17:00:00,3/19/2023
1100,2023,3,1,Australian Grand Prix,5:00:00,4/2/2023
1101,2023,4,73,Azerbaijan Grand Prix,11:00:00,4/30/2023
1102,2023,5,79,Miami Grand Prix,19:30:00,5/7/2023
1103,2023,6,21,Emilia Romagna Grand Prix,13:00:00,5/21/2023
1104,2023,7,6,Monaco Grand Prix,13:00:00,5/28/2023
1105,2023,8,4,Spanish Grand Prix,13:00:00,6/4/2023
1106,2023,9,7,Canadian Grand Prix,18:00:00,6/18/2023
1107,2023,10,70,Austrian Grand Prix,13:00:00,7/2/2023
1108,2023,11,9,British Grand Prix,14:00:00,7/9/2023
1109,2023,12,11,Hungarian Grand Prix,13:00:00,7/23/2023
1110,2023,13,13,Belgian Grand Prix,13:00:00,7/30/2023
1111,2023,14,39,Dutch Grand Prix,13:00:00,8/27/2023
1112,2023,15,14,Italian Grand Prix,13:00:00,9/3/2023
1113,2023,16,15,Singapore Grand Prix,12:00:00,9/17/2023
1114,2023,17,22,Japanese Grand Prix,5:00:00,9/24/2023
1115,2023,18,78,Qatar Grand Prix,14:00:00,10/8/2023
1116,2023,19,69,United States Grand Prix,19:00:00,10/22/2023
1117,2023,20,32,Mexico City Grand Prix,20:00:00,10/29/2023
1118,2023,21,18,São Paulo Grand Prix,17:00:00,11/5/2023
1119,2023,22,80,Las Vegas Grand Prix,6:00:00,11/19/2023
1120,2023,23,24,Abu Dhabi Grand Prix,13:00:00,11/26/2023
